将棋で歩がなると？,と
「昭和の大横綱」と呼ばれます,きたのうみ
「昭和の大横綱」と呼ばれます,たいほう
「昭和の大横綱」と呼ばれます,ふたばやま
『日本書紀』によると、日本初の相撲の試合の敗者とされます,たいまのけはや
Ｋ－１などで活躍する格闘家・武田幸三のニックネーム,ちょうごうきん
Ｋ－１戦士、レイ・セフォーの愛称は「南海の○○」？,くろひょう
かつて大谷晋二郎と田中将斗が結成していたタッグチーム,えんぶれむ
アントニオ猪木の得意技の一つ,まんじかため
ジャイアント馬場の本名は馬場○○？,しょうへい
ソウル・ロサンゼルスと五輪の柔道を連覇,さいとうひとし
ドクター中松が考案した武道は？,むてきどう
ノアが管理する世界タイトルは？,ＧＨＣ
パンチ力を鍛えます,サンドバッグ
プロレスやボクシングで試合開始前にならします,ゴング
プロレスラー・真霜拳號の得意技,かたな
プロレス団体・ＮＯＡＨに所属するイケメンレスラー,まるふじなおみち
プロレス団体のドラゴンゲートかつての名前は？,とうりゅうもん
ボクシングの「亀田３兄弟」の三男です,かめだともき
ボクシングのことを漢字２文字ではこういいます,けんとう
ボクシングのパンチです,アッパー
ボクシングの選手が試合中に装着します,マウスピース
ミュンヘン五輪代表の郁栄を父にもつ元女子レスリング選手,やまもとみゆう
モハメドアリ対アントニオ猪木を実現させたプロデューサー,こうよしお
ラリアットを得意技とする日本人プロレスラー,こじまさとし
愛称は「コンデ・コマ」ブラジルに柔術を伝えた格闘家,まえだみつよ
往年の柔道家・西郷四郎が得意とした柔道技です,やまあらし
往年の名レスラー、ブルーノ・サンマルチノの愛称は「人間？」,はつでんしょ
横綱土俵入りの二つの型は雲龍（うんりゅう）型と何型？,しらぬい
格闘家・高田延彦の半生を描きプロレス界に波紋を呼んだ本は？,なきむし
格闘技界に大きな影響力を持つ通称「Ｉ編集長」,いのうえよしひろ
格闘技界の「世界のＴＫ」,こうさかつよし
格闘技団体・ＧＲＡＢＡＫＡに所属する格闘家です,ごうのあきひろ
極真会館、正道会館といえばこれの流派です,からて
現在はPRIDEで活躍する大相撲出身の格闘家,せんとりゅう
高砂部屋に所属するモンゴル出身の幕内力士です,あかせきりゅう
高砂部屋に所属するモンゴル出身の幕内力士です,あさせきりゅう
史上初のモンゴル出身横綱です,あさしょうりゅう
柔道で、「効果」より上で「技あり」より下の判定は？,ゆうこう
女子アマレスの「伊調姉妹」のお姉さん,いちょうちはる
相撲で、もろ差しになった相手の両腕を締めつけ動けなくすること,かんぬき
相撲で、八百長試合の仲介をする人のことを何という？,なかぼん
相撲で、力士の成績を一覧にまとめた表のことです,ほしとりひょう
相撲で十両以上の力士がする髪型,おおいちょう
相撲はここで試合をします,どひょう
大相撲の力士がまげを結う時に使われる油です,びんつけあぶら
第60代横綱・双羽黒光司の愛称のひとつは「○○○横綱」？,しんじんるい
塘内将彦、高松正裕、内柴正人らが所属する、柔道の名門,あさひかせい
東京ドーム初のプロレスの大会は『格闘衛星☆○○○○』？,とうきょうどーむ
富田常雄の小説『姿三四郎』のモデルとして知られる柔道家は？,さいごうしろう
父もプロレスラーとして知られる女子プロレスラー,はまだあやこ
払い腰、内股、巴投げといえば？,じゅうどう
本名を古賀博之という友綱部屋所属の力士です,かいおう
毎年夏におこなわれる高校柔道の大会は○○○大会？,きんしゅうき
力士の髪を結う人です,とこやま
1972年に冬季五輪が開催された日本の都市です,さっぽろ
1993年に２戦だけエフワンにスポット参戦した日本人レーサー,すずきとしお
2001年には競艇年間最多勝利選手となった女性選手,おおしませいこ
2002年に全日本ＧＴ選手権をトヨタスープラで制したレーサー,いいだあきら
2003年に世界陸上が開催された都市は？,パリ
2004年にオートレーサーへと転身した元ロードレース世界王者,あおきはるちか
2005年に早稲田大学ラグビー部を大学選手権優勝に導いた監督です,きよみやかつゆき
NBAシャーロット・ホーネッツのホーネッツはこの昆虫のことです,スズメバチ
「ひねり」という意味で使うビリヤード用語です,イングリッシュ
「中山４歳牝馬特別競走」という名前で創始されたＧ１レース,おうかしょう
１チーム４人で行う冬のスポーツです,カーリング
Ｖリーグ女子に「バンブー」というチームを持つ金融会社,たけふじ
かつて斉藤真由美と人気を二分したバレーボール選手は誰？,ますこなおみ
よくマラソンの勝者に贈られます,げっけいかん
アテネ五輪・競泳女子200ｍ背泳ぎで銅メダル,なかむられいこ
アテネ五輪アーチェリーで銀メダルを獲得しました,やまもとひろし
アトランタ五輪の陸上女子１万ｍで５位に入賞,ちばまさこ
アムステルダム五輪で誕生した日本女性初のメダリストです,ひとみきぬえ
アメリカ人のネイ・スミスによって考案された球技は？,バスケ
イタリアのパレルモにも所属したバレー日本代表の名セッターは？,まなべまさよし
ウェイトリフティング選手,みやけひろみ
オートレースでオートバイの走行軌跡のことを何という？,くろしお
ゴルフで各ホールの最初に打つショットは何ショット？,ティー
ゴルフで使うクラブで３番ウッドの愛称は？,スプーン
スキー製品で「アトミック」といったらどこの国のメーカー？,オーストリア
テンガロンハットが特徴の日本の男子ゴルファーです,かたやましんご
ドラマ『スクール・ウォーズ』のモデルとなったのは誰？,やまぐちよしはる
ノルディックスキー複合の日本のエースです,たかはしだいと
ハンドボールのことです,そうきゅう
バタフライで使うキックに名前がついている動物は何？,いるか
ビリヤードが遊べるバーを○○○バーといいます,プール
フォーミュラニッポンの2003年チャンピオンです,もとやまさとし
フジテレビの解説でおなじみのモータースポーツジャーナリスト,いまみやじゅん
フランス語で「そり」という意味がある冬の競技,リュージュ
マラソンでのペースメーカーを何という？,ラビット
マラソンで一時代を築きました,なかやまたけゆき
モータースポーツではピットで作業を行います,きゅうゆ
ヨットの「スナイプ級」のスナイプとはどんな鳥のこと？,しぎ
ヨット用語ではラダーといいます,かじ
ラジオ体操の放送第一声の号令をかけたのは誰？,えぎりいち
英語では「スラローム」というスキーのアルペン種目の一つです,かいてん
英語では「ロープスキッピング」という運動です,なわとび
笠松競馬場から中央競馬に移って活躍しているジョッキー,あんどうかつみ
弓道で的を置く場所は何？,あづち
競艇の新人選手への習慣です,すいじんさい
元プロ野球選手を父にもつ美人女子プロゴルファー,ひがしおりこ
公式ルールでは１チーム８人です,つなひき
高校ラグビー界の整地である全国大会の開催地です,はなぞの
高校女子バスケの名門校として有名な愛知県の高校です,おうかがくえん
腰を浮かせて重心を前にかける競馬の騎乗法は何乗り？,モンキー
参加者が日本最多となる市民マラソンの開催地です,おうめ
女子ではイシンバエワが第一人者である陸上種目,ぼうたかとび
女子テニス界のアイドル　マリア・シャラポアの母国,ロシア
女子円盤投げの日本記録を持っている選手は誰？,むろふしゆか
世界で初めてムーンサルトを成功させた体操選手は誰？,つかはらみつお
千葉すずの夫でもあるアテネ五輪の銀メダリストです,やまもとたかし
全国高校ラグビーの優勝旗です,ひきゅうのはた
全日本ＧＴ選手権が初めて海外で開催された国は？,マレーシア
体操の世界選手権で金メダルを獲った女子選手です,たなかけいこ
体操の世界選手権で金メダルを獲った女子選手です,たなかけいこ
体操競技の１つです,ちょうば
跳馬の「ヤマシタ跳び」に名前を残す体操選手,やましたはるひろ
長野五輪のカーリング日本代表で大会最年少の主将を務めたのは？,つるがまこと
天井サーブなどを編み出した往年のバレーボール選手は誰？,ねこたかつとし
伝説のレーサー浮谷東次郎の愛車はこう呼ばれていました,カラス
東京五輪の最終聖火ランナーを務めたのは誰？,さかいよしのり
独自のドライビング理論で有名なジャーナリスト兼レーサー,なかやあきひこ
日本を代表するアルペンスキーヤーです,きむらきみのぶ
日本バスケの強豪チームのアイシンが本拠地を置く都市,かりや
日本体操界の名文句です「鬼に金棒、小野に○○」？,てつぼう
疲れて血行が悪くなってしまった競走馬に対する治療法です,ささばり
不動裕理や大山志保を育てた女子プロゴルファー,きよもとたかこ
武豊・武幸四郎の父親であるかつての名ジョッキー,たけくにひこ
武豊の弟です,たけこうしろう
片側の足をひざまずいて構える射撃の姿勢です,しっしゃ
陸上のクラウチングスタートが考案されるきっかけとなった動物,カンガルー
立花美哉とのコンビで活躍したシンクロの選手,たけだみほ
1989年に放送された「トランスフォーマー」シリーズ,ゾーン
1998年に放送されたアニメ『時空転抄○○○』？,ナスカ
「パーフェクトサイボーグ」と呼ばれる10人目の仮面ライダー,ゼクロス
『それいけ！アンパンマン』で山寺宏一が演じています,チーズ
『めぞん一刻』で一刻館の６号室に住む朱美さんの苗字です,ろっぽんぎ
『アルプスの少女ハイジ』と『宇宙戦艦ヤマト』の裏番組,さるのぐんだん
『フルメタル・パニック』短編集４作目のタイトルに入る四字熟語,しめんそか
『炎の○○○ドッジ弾平』？,とうきゅうじ
『仮面ライダー龍騎』でゾルダに変身する北岡弁護士を演じた俳優,りょうへい
『鋼の錬金術師』のイズミはこれを売る店をやってます,にく
『新世紀エヴァンゲリオン』のアスカのファーストネーム,そうりゅう
『伝説巨神イデオン』や『聖戦士ダンバイン』のキャラをデザイン,こがわとものり
あかほりさとる原作のアニメ『らいむいろ○○○』？,せんきたん
アニメ『ＮＯＩＲ』のヒロインである裏社会の暗殺者,ゆうむらきりか
アニメ『おじゃる丸』でハムスターの公ちゃんの師匠は？,れいてつさい
アニメ『それゆけ！外道乙女隊』の５人姉妹の長女です,ほっけおとね
アニメ『ついでにとんちんかん』のとんちんかんのリーダーです,あいだぬけさく
アニメ『ふしぎの海のナディア』でハンソンが作った万能戦車は？,グラタン
アニメ『ふしぎ遊戯』に登場する朱雀七星士の１人,たまほめ
アニメ『ふしぎ遊戯』に登場する朱雀七星士の１人,ほとほり
アニメ『サザエさん』で農業を営んでいるフネの兄は？,いしだたいぞう
アニメ『テニスの王子様』で不二周助の必殺技のひとつ,ひぐまおとし
アニメ『ドラゴンボール』で鶴仙人の弟である殺し屋,タオパイパイ
アニメ『ドラゴンボールＺ』で孫悟空の息子といえば？,そんごはん
アニメ『ブラック・ジャック』で監督を務める手塚治虫の長男,てづかまこと
アニメ『ベターマン』で覚醒人１号に乗る高校生,あおのけいた
アニメ『ルパン三世』第１作に登場した「黒魔術と呼ばれた男」,パイカル
アニメ『陰陽大戦記』で闘神士が式神を降臨させるのに使います,ドライブ
アニメ『円盤皇女ワるきゅーレ』『鋼鉄天使くるみ』の原作者,かいしゃく
アニメ『学園アリス』で今井蛍のことが大好きなヒロイン,さくらみかん
アニメ『機動武闘伝Ｇガンダム』に登場する東方不敗の愛馬は？,ふううんさいき
アニメ『逆転イッパツマン』でイッパツマンになる会社員,ごうそっきゅう
アニメ『犬夜叉』でかつて犬夜叉を封印した巫女,ききょう
アニメ『犬夜叉』で珊瑚といっしょにいる猫又,きらら
アニメ『鋼の錬金術師』で義肢として使われているもの,オートメイル
アニメ『少女革命ウテナ』に登場する鳳学園の理事長代行,おおとりあきお
アニメ『聖闘士星矢』の予告編「君の○○○は燃えているか？」,コスモ
アニメ『蒼穹のファフナー』の舞台となる楽園の島,たつみやじま
アニメ『探偵少年カゲマン』の原作者は山根○○○○？,あおおに
アニメ『超獣機神ダンクーガ』でダンクーガを操縦するメンバー,じゅうせんきたい
アニメ『鉄腕アトム』に登場する警視庁の警部,たわしけいぶ
アニメ『天地無用！ＧＸＰ』の運の悪い主人公は？,やまだせいな
アニメ『忍者ハットリくん』でハットリくんが苦手なのは？,カエル
アニメ『舞-HiME』のヒロインです,ときはまい
アニメ『北斗の拳』の原作者は原哲夫と○○○？,ぶろんそん
アニメ『魔神英雄伝ワタル』の主人公は○○ワタル？,いくさべ
アニメ『名探偵コナン』に登場する少年探偵団のメンバーです,はいばらあい
アニメ『遙かなる時空の中で～八葉抄～』に登場する地の玄武,あべのやすあき
アニメスペシャル『ルパン三世○○○○○○○ペーパーの謎』,ヘミングウェイ
アレクサンドル・デュマの小説を原作とするＴＶアニメ,がんくつおう
クレヨンしんちゃんの妹は野原○○○○？,ひまわり
ジュドー・アーシタが主人公『機動戦士ガンダム○○』？,ダブルゼータ
スカイライダーとスーパー１を育てた「２代目おやっさん」,たにげんじろう
スタジオぴえろのロボットアニメ『忍者戦士○○』？,とびかげ
モノクロ版では映画評論家の淀川長治の解説がありました,かいぶつくん
ラビルーナを旅するロボットアニメ『○○○グランゾート』,マドーキング
映画『ゴジラFINAL,WARS』で復活した「海底軍艦」
映画『プロジェクトＡ子』の主人公のフルネーム,まがみえいこ
映画『ルパン三世くたばれ！○○○○○○○』？,ノストラダムス
映画『火垂るの墓』の原作者,のさかあきゆき
映画『魔女の宅急便』で人力飛行機に熱中する少年,トンボ
仮面ライダーストロンガーが戦うブラックサタンの改造人間,きっかいじん
宮崎駿監督のアニメ映画『魔女の宅急便』の原作者,かどのえいこ
劇場版『ドラえもん』の監督を第４作から25作まで続けました,しばやまつとむ
中学生でプロゴルファーをめざす『あした天気になあれ』の主人公,むかいたいよう
東映アニメーションの前身です,とうえいどうが
特撮番組『ウルトラマン』を生んだ沖縄生まれの脚本家,きんじょうてつお
特撮番組『快獣ブースカ』でブースカの大好物です,ラーメン
日本初の長編カラーアニメ,はくじゃでん
平成「ガメラ」で、ガメラと心を通わす藤谷文子が演じたヒロイン,くさなぎあさぎ
平成「仮面ライダー」シリーズやスーパー戦隊を手がける特撮監督,ふつたよう
暴れん坊・石田国松を主人公とするアニメは『ハリスの○○』？,かぜ
「週刊少年ジャンプ」で連載されたハンドボール漫画,ダイスキング
「土がゆ」で有名な本宮ひろ志の短編漫画,だいききん
『ＮＡＲＵＴＯ』のサスケやカカシが持つ特殊能力,しゃりんがん
『まじかる★タルるートくん』でタルるートくんの大好物です,たこやき
『まじかる★タルるートくん』に登場するスーパー小学生,はらこつとむ
『ガンダムセンチネル』や『プラモ狂四郎』の原作者です,たかはしまさや
『グラップラー刃牙』の板垣恵介が漫画化した夢枕獏の小説,がろうでん
『ジョジョの奇妙な冒険』でディオの細胞から作られた寄生体,にくのめ
『稲生物怪録』を元にした宇河弘樹の伝奇漫画『？の巫女』,あさぎり
『課長島耕作』でおなじみの漫画家・弘兼憲史の奥さんは？,さいもんふみ
『巨人の星』『タイガーマスク』など、数々のスポ根漫画の原作者,かじわらいっき
『妖しのセレス』『ふしぎ遊戯』で知られる漫画家,わたせゆう
ＣＬＡＭＰの漫画『ツバサ』に登場する玖楼国の神官,ゆきと
ＣＬＡＭＰの漫画『東京BABYLON』の主人公は？,すめらぎすばる
これが見えると１年以内に死ぬと漫画『北斗の拳』で語られる星,しちょうせい
アニメ『デビルマン』には登場しない漫画版の準主役,あすかりょう
アニメ化もされた少女漫画『東京ミュウミュウ』の作者,いくみみあ
アニメ化もされた少女漫画『彼氏彼女の事情』の作者は？,つだまさみ
インドの神話をモチーフにしたＣＬＡＭＰのデビュー漫画,リグヴェーダ
エーベルバッハ少佐の部下を主人公にした青池保子の漫画,ツェット
ストーカー女の恐怖を描く望月峯太郎の漫画,ざしきおんな
バレリーナを目指す少女を描く曽田正人の漫画は？,すばる
パラサイトがとりついた高校生泉新一を主人公とする漫画,きせいじゅう
ファミコンでゲーム化された漫画家・諸星大二郎の漫画,あんこくしんわ
ロッカー春日露魅王を主人公にした梅澤春人の漫画です,ブレーメン
医者を主人公にした田中圭一のギャグ漫画『ドクター○○○』？,ちちぶやま
運転することにかけては天才的な漫画『D-RIVE！』の主人公,いかるがさとる
葛飾北斎が登場する杉浦日向子の時代漫画,さるすべり
義理の姉と弟の同居生活を描く鈴木有布子の漫画,いまどき
宮下あきらのケンカ漫画『私立○○高校』？,きわめみち
強化外骨格「零」をまとう漫画『覚悟のススメ』の主人公,はがくれかくご
元始天尊から封神計画を任された漫画『封神演義』の主人公,たいこうぼう
原作・梶原一騎の純愛漫画は？,あいとまこと
坂田銀時を主人公とする空知英秋のギャグ漫画は？,ぎんたま
作者の川原正敏自身の手によって小説化もされている漫画,しゅらのとき
雑誌「ファンロード」を発行している出版社,だいとしゃ
小学館漫画賞も受賞した漫画『金色のガッシュ!!』の作者,らいくまこと
小雪主演でドラマ化された少女漫画『きみはペット』の作者,おがわやよい
小雪主演でドラマ化された少女漫画『きみはペット』の作者,おがわやよい
少女シノブと天狗を描いた漫画、黒田硫黄の『大日本○○○絵詩』,てんぐとう
親殺しの少年・成嶋亮を主人公とする、たなか亜希夫の格闘漫画,しゃも
政治家秘書の元不良を描く漫画朝基まさきの『クニミツの？』,まつり
代表作に『四年生』『五年生』『げんしけん』がある漫画家,きおしもく
第19回手塚小佳作に『ツバサ』が選ばれデビューした漫画家,かつらまさかず
第一部が完結した岡崎武士のファンタジー漫画,エレメンタラー
地震で真っ二つに裂けた日本を描く漫画『太陽の○○○』？,もくしろく
中国の物語を元にした峰倉かずやのファンタジー漫画,さいゆうき
中山星香のファンタジー漫画『○○○の騎士』？,アルフヘイム
土蔵の中に閉じ込められた少女を描いた手塚治虫の社会派漫画,あやこ
北九州から上京してきた漫画『男おいどん』の主人公,おおやまのぼった
漫画『BLACK,LAGOON』で顔に火傷跡がある女性マフィア
漫画『BLEACH』で主人公・黒崎一護が住む町です,からくらちょう
漫画『Dr.スランプ』で中国から来たキャラクター,つんつるりん
漫画『HUNTER×HUNTER』に登場するキルアの必殺技です,ナルカミ
漫画『HUNTER×HUNTER』に登場するゲンスルーたちの呼び名,ボマー
漫画『ONE,PIECE』でワボルの国は○○○王国？
漫画『XXXHOLiC』で、弓道部に所属する四月一日の友達,どうめきしずか
漫画『ＮＡＲＵＴＯ』ではくのいちたちを教る忍者です,スズメ
漫画『あまえないでよっ!!』で主人公たちが修行する寺です,さいえんじ
漫画『こち亀』でライターを紛失して大騒ぎ,ほしとうでん
漫画『らんま１／２』に登場する乱馬のクラスメートです,ごすんくぎひかる
漫画『るろうに剣心』で姉の仇として剣心に挑む剣客,ゆきしろえにし
漫画『ろくでなしＢＬＵＥＳ』の主人公,まえだたいそん
漫画『アストロ球団』で巨人軍に入ったアストロ超人達のライバル,むなし
漫画『ウメ星デンカ』でデンカの教育係といえば？,ベニショーガ
漫画『カバチタレ！』の作者,こちたかひろ
漫画『ガラスの仮面』で北島マヤに届けられる花は何色のバラ？,むらさき
漫画『ガラスの仮面』に登場する「紫のバラ」の人の正体,はやみますみ
漫画『キャッツ・アイ』の来生３姉妹の次女で正体は泥棒,ひとみ
漫画『キン肉マン』に登場する悪魔超人です,あくましょうぐん
漫画『ケロケロちゃいむ』の作者は藤田○○○？,まぐろ
漫画『ジョジョの奇妙な冒険』の第１部はこれをめぐる物語です,いしかめん
漫画『ハイスクール！奇面組』で一堂零の家の隣に住んでいます,はるまげどん
漫画『ハイスクール！奇面組』で奇面組のクラスの担任です,わかとらん
漫画『ハチミツとクローバー』の作者は○○○チカ？,うみの
漫画『パスポート・ブルー』で宇宙飛行士をめざす主人公,まがみまっすぐ
漫画『パタリロ！』のマリネラ王国の特産品,ダイヤ
漫画『ヒカルの碁』でヒカルに囲碁を教えた幽霊,ふじわらのさい
漫画『ファイブスター物語』の舞台は「○○○○○太陽星団」？,ジョーカー
漫画『ブラック・ジャック』で男装して船医となったＢＪの恋人,きさらぎめぐみ
漫画『プロゴルファー猿』の主人公・猿が持つドライバーです,らいでん
漫画『プロゴルファー猿』の主人公・猿の得意技です,はたつつみ
漫画『魁!!男塾』で男塾塾長代理もつとめた人物,ワンターレン
漫画『機動警察パトレイバー』の泉野明が高校時代にやってました,バスケ
漫画『湘南爆走族』の舞台となる高校は「？高校」,なみうちぎわ
漫画『正しい恋愛のススメ』で出張ホストのバイトをしています,ごこくじあきら
漫画『蒼天の拳』の主人公にして北斗神拳第62代伝承者,かすみけんしろう
漫画『探偵学園Ｑ』に登場する天才芸術家です,くずりゅうたくみ
漫画『東京大学物語』の前半はここが舞台でした,はこだて
漫画『封神演義』で太公望のお供をする霊獣,スープーシャン
漫画『名探偵コナン』の主人公江戸川コナンの正体,くどうしんいち
漫画家・西川伸司のデビュー作は『“何”ファミリー』？,どぐう
20世紀最後に発売されたゲーム『信長の野望』シリーズ,れっぷうでん
NEOGEOの100メガショック第１作は『○○の拳』？,りゅうこ
SIMPLE2000シリーズVol.70は『ＴＨＥ○○○』？,かんしきかん
「電脳直撃」のキャッチコピーで親しまれたセガのゲーム機は？,サターン
『II』には孫も登場した初代『ドラクエ』のラスボス,りゅうおう
『The,Tower
『ウィザードリィ』が最初に発売されたマシンは○○○○２？,アップル
『サガ』シリーズの第１作は『○○○○Sa・Ga』？,まかいとうし
『バーチャファイター』シリーズで合気柔術の使い手といえば？,うめこうじあおい
『ファイナルファンタジー』で黒魔法と白魔法を覚えられます,あかまじゅつし
『ファミリーマージャンII』の副題は『○○への道』？,しゃんはい
『ポートピア連続殺人事件』で重要なポイントとして登場,しんかいち
『真・三國無双』シリーズと『戦国無双』の追加ディスク,もうしょうでん
ＰＳ２版のサブタイトルは『PROJECT,ALTERD
ＰＳ２用の恋愛アドベンチャーゲーム『○○のマルス』？,はめつ
ＰＳ２用ゲーム『十二国記○○たる王道　紅緑の羽化』？,かくかく
ＰＳのシミュレーションゲーム『サブマリンハンター○』？,しゃち
ＲＰＧ『覇邪の封印』を開発したゲーム会社は○○○スタジオ？,こうがどう
ＳＴゲーム『オーダイン』で主人公機を開発したのは？,とまりはかせ
これが決まれば敵は即死するゲーム『天誅』の一撃必殺技,にんさつ
アイディアファクトリーのゲーム『○○○○スケルターヘブン』？,てんくうだんざい
アイドル・立花理沙の名を冠したファミコンゲームは『リサの？』,ようせいでんせつ
オンラインコミュニケーションソフト『ぐるぐる○○』？,おんせん
カプコンの『天地を喰らうII』の副題は『○○○○伝』？,しょかつこうめい
カプコンのアクションゲーム『ストライダー○○』？,ひりゅう
ケイブが開発したシューティングゲーム,どんぱち
ゲーム『AIR』でお米券を持ち歩いているキャラ,とおのみなぎ
ゲーム『THE,KING
ゲーム『THE,KING
ゲーム『３年Ｂ組金八先生』に登場する鉄道マニアの生徒,くろべてつろう
ゲーム『ぼくのなつやすみ２』のサブタイトルは「○○○○編」？,うみのぼうけん
ゲーム『クーロンズゲート』で妄想に邪気が入ってしまった人間,わんにん
ゲーム『サクラ大戦』に登場する黒之巣会死天王のひとりです,あおいさたん
ゲーム『サクラ大戦』に登場する武装飛行船,しょうげいまる
ゲーム『デッドオアアライブ２』に登場するボスキャラのてんぐ,ばんこつぼう
ゲーム『ナムコ×カプコン』に登場するオリジナルキャラクター,ありすれいじ
ゲーム『ナムコ×カプコン』に登場するオリジナルキャラクター,ありすれいじ
ゲーム『ファミコン探偵倶楽部』探偵事務所の所長は○○俊介？,うつぎ
ゲーム『ポートピア連続殺人事件』で登場した暗号です,こめいちご
ゲーム『ポケットモンスター』で移動に用いられる乗り物です,じてんしゃ
ゲーム『君が望む永遠』のヒロインの１人です,すずみやはるか
ゲーム『君が望む永遠』のヒロインの１人です,はやせみつき
ゲーム『豪血寺一族』などで知られるイラストレーター,むらたれんじ
ゲーム『私立ジャスティス学園』に登場する外道高校２年生,いするぎがん
ゲーム『新選組群狼伝』の「連撃」４連続中の３撃目の名称,はじんのさん
ゲーム『鉄騎』でプレイヤーが属する勢力は「○○○○機構」？,かんたいへいよう
ゲーム『半熟英雄４』の限定版は『半熟○○○○』？,ぎんがべんとう
ゲーム『半熟英雄４』の限定版は『半熟○○○○』？,ぎんがべんとう
ゲーム『平安京エイリアン』アーケード版の発売元は？,でんきおんきょう
ゲームのチューニングを専門としている会社です,さるがくちょう
コーエーがＸｂｏｘで発売したアクションゲームです,くれないのうみ
コーエーのシミュレーションゲーム『蒼き狼と白き○○』？,めじか
サバイバルアドベンチャーゲーム『絶体絶命都市』の海上都市,しゅととう
サムソン、アドンが大活躍,ちょうあにき
ディスクシステムで発売された『○○○ドキドキパニック』,ゆめこうじょう
ファミコンで発売された相撲ゲーム『千代の富士の○○○』？,おおいちょう
ファミリートレーナーのゲーム『○○！キョンシーズ』？,らいらい
マリオの口元には欠かせない,ひげ
ミニゲームを集めたＦＣディスクシステム用ゲーム,げーむてんごく
リー兄弟を操作して戦うテクノスジャパンのゲーム,ダブルドラゴン
レベルアップに必要な数値,けいけんち
極真会館全面協力の格闘ゲーム『○○　鋼の人』？,いちげき
九州を舞台にした『桃太郎電鉄』シリーズ第10弾,ばってん
江戸の世界で豪商をめざすシミュレーションゲームです,てんかごめん
実在する選手も登場するＸｂｏｘのスノーボードゲーム『○○』？,てんくう
守備や回復魔法が得意とする『ドラクエ』シリーズの職業,そうりょ
渋谷を舞台にしたゲーム『街』に登場する謎の組織,しちようかい
将軍、カッパなどの異色キャラが格闘する『○○○バスター』？,ふじやま
全ての荷物を指定された場所に格納するパズルゲーム,そうこばん
東宝が発売したファミコンゲーム『ジキール博士の○○○○』？,おうまがとき
派手な技が話題を呼んだタカラの３Ｄ格闘ゲーム,とうしんでん
料理アクションゲーム『クッキングファイター○』？,ハオ
恋愛ゲーム『ふりむけば隣に』に登場する雪女のヒロインは？,るり
和風テイストのアクションゲーム『心霊呪殺師○○○』？,たろうまる
1996年、将棋で史上初の７大タイトル制覇を達成,はぶよしはる
「史上最強の棋士」とも評される将棋の十五世名人は？,おおやまやすはる
『お嬢さまとお呼び！』で知られる女性小説家,もりなつこ
『キマイラ』『魔獣狩り』『陰陽師』で知られるＳＦ作家,ゆめまくらばく
『デビルマン』のフィギュアでおなじみのデザイナー・造形家,にらさわやすし
『ブギーポップは笑わない』『キノの旅』が人気の文庫は？,でんげきぶんこ
『プロゴルファー猿』猿丸や『ダーティペア』ケイ役の声優,とんぐうきょうこ
『マルドゥック・スクランブル』で日本ＳＦ大賞を受賞,うぶかたとう
『塊魂』の挿入歌『真っ赤なバラとジントニック』を歌うシンガー,みずもりあど
『灰羽連盟』『NieA_7』などでおなじみのイラストレーター,あべよしとし
『聖闘士星矢』のフィギュアシリーズ『聖闘士聖衣○○』？,マイス
『創竜伝』などで知られる小説家・田中芳樹のデビュー時の筆名,りのいえゆたか
『美少女戦士セーラームーン』の実写版の主題歌を歌いました,さえ
『名探偵コナン』の妃英理役や洋画の吹き替えでおなじみの声優,たかしまがら
ＮＨＫの『ＢＳマンガ夜話』の進行役をつとめる民俗学者,おおつきたかひろ
アニメ『ああっ女神さまっ』のウルド役でおなじみの女性声優,とうまゆみ
アニメ『まんが日本昔ばなし』の主題歌を歌っていました,はなずきん
アニメ『キン肉マン』の３代目ＯＰは『キン肉マン○○！』？,センセーション
アニメ『ザ・ウルトラマン』でウルトラマンの声を演じた俳優,いぶまさとう
アニメ『フランダースの犬』の主題歌を作詞した岸田今日子の姉,きしだえりこ
アニメ『超時空要塞マクロス』の主題歌を歌った男性歌手です,ふじわらまこと
イベントや発売日の前日に列を作って並んでいます,てつやぐみ
インターネット上で人気を呼んだ中国製ロボット,せんこうしゃ
ウルトラマンをデザインした今は亡き彫刻家,なりたとおる
オタクの聖地として有名です,あきはばら
キャラクターグッズ販売店「ゲーマーズ」を展開する企業,ブロッコリー
クラリス、ナウシカ、音無響子などの声でおなじみの女性声優,しまもとすみ
サバイバルゲームの遊び方の１つです,せんめつせん
タラちゃん、アクビちゃんの声でおなじみの声優,さすがたかこ
トランプのジョーカーのもとになったタロットカード,ぐしゃ
パズル雑誌『パズル通信ニコリ』が人気に火をつけたパズル,すうどく
ファンシーララを演じたのはこの人です,おおもりれいこ
プラモデルで、塗装の剥がれを表現するテクニックを何という？,ぎんはがし
メフィスト賞作歌・西尾維新の代表作は「○○」シリーズ？,ざれごと
ワンダーフェスティバルを主催する模型制作会社,かいようどう
安田成美の『風の谷のナウシカ』を作曲した有名ミュージシャン,ほそのはるおみ
囲碁で、最後まで打たずに勝負がつくことを何という？,ちゅうおし
囲碁の碁石を入れておく器,ごけ
一休さんやキテレツを演じたベテラン声優です,ふじたとしこ
羽生善治の師匠で日本将棋連盟の元会長,ふたかみたつや
映画『ルパンVS複製人間』で『ルパン音頭』を歌いました,みなみはるお
押井守が初めて監督した実写映画,あかいめがね
花札で、11月の札に描かれている人物です,おののとうふう
金田一一、シュリケンジャーなどの声でおなじみ声優です,まつのたいき
